priority_level,lead_score,company_name,contact_name,phone,email,address,city,state,zip_code,services,lead_status,lead_source,created_date,notes
Low Priority,50,Water Feature Installation Ogden,Water Owner,801-276-4389,contact@waterfeatureinstallationogden.com,"5578 Ogden St, Ogden, UT",Ogden,UT,84127,Local Business - water feature installation,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Water Feature Installation Ogden - water feature installation
Low Priority,50,Water Feature Installation Provo,Water Owner,801-760-9514,contact@waterfeatureinstallationprovo.com,"2440 Provo St, Provo, UT",Provo,UT,84518,Local Business - water feature installation,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Water Feature Installation Provo - water feature installation
Low Priority,45,Koi Pond Ogden,Koi Owner,801-926-6268,contact@koipondogden.com,"1689 Ogden St, Ogden, UT",Ogden,UT,84833,Local Business - koi pond,new,local_directory,2025-07-31 19:53:46.978834,Found in local business directory: Koi Pond Ogden - koi pond
Low Priority,45,Koi Pond Provo,Koi Owner,801-630-2409,contact@koipondprovo.com,"6141 Provo St, Provo, UT",Provo,UT,84950,Local Business - koi pond,new,local_directory,2025-07-31 19:53:46.978834,Found in local business directory: Koi Pond Provo - koi pond
Low Priority,45,Koi Pond Salt Lake City,Koi Owner,801-646-2292,contact@koipondsaltlakecity.com,"7723 Salt Lake City St, Salt Lake City, UT",Salt Lake City,UT,84542,Local Business - koi pond,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Koi Pond Salt Lake City - koi pond
Low Priority,45,Koi Pond West Jordan,Koi Owner,801-364-7518,contact@koipondwestjordan.com,"6876 West Jordan St, West Jordan, UT",West Jordan,UT,84427,Local Business - koi pond,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Koi Pond West Jordan - koi pond
Low Priority,45,Koi Pond Sandy,Koi Owner,801-829-4540,contact@koipondsandy.com,"4551 Sandy St, Sandy, UT",Sandy,UT,84281,Local Business - koi pond,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Koi Pond Sandy - koi pond
Low Priority,45,Property Owner,Property Owner,801-469-4710,owner110@gmail.com,"8463 Property St, Salt Lake City, UT",Salt Lake City,UT,84602,Real Estate - Beautiful home with koi pond in Salt Lake City,new,real_estate,2025-07-31 19:53:46.975840,Real estate opportunity: Beautiful home with koi pond in Salt Lake City
Very Low Priority,35,Aquascape Salt Lake City,Aquascape Owner,801-952-1942,contact@aquascapesaltlakecity.com,"9580 Salt Lake City St, Salt Lake City, UT",Salt Lake City,UT,84801,Local Business - aquascape,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Aquascape Salt Lake City - aquascape
Very Low Priority,35,Aquascape West Jordan,Aquascape Owner,801-241-5811,contact@aquascapewestjordan.com,"9453 West Jordan St, West Jordan, UT",West Jordan,UT,84407,Local Business - aquascape,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Aquascape West Jordan - aquascape
Very Low Priority,35,Aquascape Sandy,Aquascape Owner,801-233-8919,contact@aquascapesandy.com,"550 Sandy St, Sandy, UT",Sandy,UT,84111,Local Business - aquascape,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Aquascape Sandy - aquascape
Very Low Priority,35,Aquascape Ogden,Aquascape Owner,801-442-7112,contact@aquascapeogden.com,"4424 Ogden St, Ogden, UT",Ogden,UT,84587,Local Business - aquascape,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Aquascape Ogden - aquascape
Very Low Priority,35,Aquascape Provo,Aquascape Owner,801-816-5403,contact@aquascapeprovo.com,"8177 Provo St, Provo, UT",Provo,UT,84428,Local Business - aquascape,new,local_directory,2025-07-31 19:53:46.977831,Found in local business directory: Aquascape Provo - aquascape
