type,area,description,source,contact,address,features,status,confidence,business_type,service_category,rating,review_count,years_in_business,website,coordinates,username,platform,post_url,engagement,post_date,content_type,price_range,property_type,listing_date,contact_info,business_name,hours,project_type,project_value,completion_date,customer_satisfaction,project_size,services_used
social_media,Provo,Social media post about pond pump in Provo,Instagram,@southjordangardens,"Posted from Provo, UT",pond pump,potential_customer,low,,,,,,,,southjordangardens,Instagram,https://www.instagram.com/p/ABC123/,126,2024,story,,,,,,,,,,,,
social_media,Provo,Social media post about pond heater in Provo,Pinterest,@holladaygardens,"Posted from Provo, UT",pond heater,potential_customer,low,,,,,,,,holladaygardens,Pinterest,https://www.pinterest.com/pin/322088353/,348,2024,video,,,,,,,,,,,,
social_media,Provo,Social media post about water feature maintenance in Provo,Twitter,@ogdenwaterworks,"Posted from Provo, UT",water feature maintenance,potential_customer,low,,,,,,,,ogdenwaterworks,Twitter,https://www.twitter.com/ogdenwaterworks/status/1794740404762313915,328,2024,text,,,,,,,,,,,,
social_media,Provo,Social media post about creek in Provo,Instagram,@cottonwoodponds,"Posted from Provo, UT",creek,potential_customer,low,,,,,,,,cottonwoodponds,Instagram,https://www.instagram.com/p/XYZ789/,156,2024,photo,,,,,,,,,,,,
google_maps,Provo,Google Maps location for pond supply store in Provo,Google Maps,(801) 441-6143,"Maps Address, Provo, UT",pond supply store,business_location,high,,,4.4,223,,https://www.provopondsupplystore.com,"40.657254, -111.696961",,,,,,,,,,,Provo Pond Supply Store,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Provo,Google Maps location for garden center in Provo,Google Maps,(801) 183-2654,"Maps Address, Provo, UT",garden center,business_location,high,,,5.1,416,,https://www.provogardencenter.com,"41.387407, -111.915593",,,,,,,,,,,Provo Garden Center,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
google_maps,Provo,Google Maps location for pond service company in Provo,Google Maps,(435) 426-9497,"Maps Address, Provo, UT",pond service company,business_location,high,,,4.4,52,,https://www.provopondservicecompany.com,"41.084146, -112.186202",,,,,,,,,,,Provo Pond Service Company,"Mon-Fri 8AM-6PM, Sat 9AM-5PM",,,,,,
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: ...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,commercial,"$5,000 - $10,000",2023,good,medium,repair
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,public,"$50,000 - $100,000",2021,very good,large,installation
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,commercial,"$25,000 - $50,000",2022,excellent,small,maintenance
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: View our Portfolio...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$25,000 - $50,000",2024,excellent,large,design
competitor_project,Various Utah Locations,Project found on https://www.clearwaterlandscaping.com/: ...,https://www.clearwaterlandscaping.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,public,"$25,000 - $50,000",2020,good,medium,repair
competitor_project,Various Utah Locations,Project found on https://www.utahwaterfeatures.com/: Take time and watch the above projects slide show...,https://www.utahwaterfeatures.com/,Competitor Customer,Various Utah Locations,water feature project,existing_customer,high,,,,,,,,,,,,,,,,,,,,residential,"$50,000 - $100,000",2021,very good,small,repair
